time (UTC),hex,callsign,latitude,longitude,Altitude (ft AMSL),squawk,Ground speed (kts),track,Vertical speed (fpm)
2018-10-28 23:21:25Z.144,0x8a0711,LNI610  ,-6.15047,106.62171,750,1742,208,251,1600
2018-10-28 23:21:25Z.590,0x8a0711,,-6.15099,106.62023,800,1742,208,250,1664
2018-10-28 23:21:26Z.660,0x8a0711,LNI610,-6.15118,106.61966,825,1742,207,250,1600
2018-10-28 23:21:27Z.656,0x8a0711,,-6.15165,106.61829,875,1742,210,250,1664
2018-10-28 23:21:28Z.880,0x8a0711,,-6.15198,106.61747,900,1742,210,250,1600
2018-10-28 23:21:29Z.370,0x8a0711,,0,0,925,1742,210,250,1600
2018-10-28 23:21:29Z.674,0x8a0711,LNI610,-6.15216,106.61691,900,1742,210,250,1536
2018-10-28 23:21:30Z.152,0x8a0711,LNI610  ,-6.15234,106.61644,925,1742,210,250,1536
2018-10-28 23:21:32Z.370,0x8a0711,LNI610,-6.15312,106.61421,975,1742,212,250,1600
2018-10-28 23:21:33Z.896,0x8a0711,LNI610,-6.15303,106.61459,975,1742,212,250,1600
2018-10-28 23:21:34Z.388,0x8a0711,,-6.15397,106.61195,1050,1742,212,250,1664
2018-10-28 23:21:34Z.654,0x8a0711,LNI610,-6.15397,106.61195,1050,1742,213,250,1664
2018-10-28 23:21:34Z.834,0x8a0711,LNI610,-6.15374,106.61261,1025,1742,212,250,1600
2018-10-28 23:21:35Z.168,0x8a0711,LNI610  ,-6.15411,106.61156,1075,1742,214,250,1664
2018-10-28 23:21:35Z.866,0x8a0711,LNI610,-6.15411,106.61156,1075,1742,213,250,1664
2018-10-28 23:21:36Z.946,0x8a0711,LNI610,-6.15481,106.60972,1125,1742,215,249,1664
2018-10-28 23:21:38Z.030,0x8a0711,LNI610,-6.15504,106.60915,1150,1742,215,249,1728
2018-10-28 23:21:38Z.596,0x8a0711,LNI610,-6.15523,106.60858,1150,1742,215,249,1664
2018-10-28 23:21:39Z.542,0x8a0711,,-6.15578,106.60723,1200,1742,217,249,1920
2018-10-28 23:21:40Z.000,0x8a0711,LNI610,-6.15593,106.60678,1225,1742,217,249,1856
2018-10-28 23:21:40Z.018,0x8a0711,LNI610,-6.15593,106.60678,1225,1742,217,249,1920
2018-10-28 23:21:40Z.272,0x8a0711,LNI610  ,-6.15578,106.60723,1200,1742,217,249,1920
2018-10-28 23:21:41Z.800,0x8a0711,LNI610,-6.1561,106.6063,1250,1742,217,249,1856
2018-10-28 23:21:44Z.044,0x8a0711,LNI610,-6.15738,106.60295,1375,1742,218,248,1792
2018-10-28 23:21:44Z.066,0x8a0711,LNI610,-6.15705,106.6038,1325,1742,218,248,1920
2018-10-28 23:21:45Z.082,0x8a0711,LNI610,-6.1576,106.60247,1375,1742,218,248,1792
2018-10-28 23:21:45Z.181,0x8a0711,LNI610  ,-6.1576,106.60247,1375,1742,219,249,1728
2018-10-28 23:21:45Z.798,0x8a0711,LNI610,-6.15723,106.60342,1350,1742,218,248,1856
2018-10-28 23:21:46Z.102,0x8a0711,LNI610,-6.15816,106.60094,1425,1742,219,248,1600
2018-10-28 23:21:47Z.222,0x8a0711,LNI610,-6.15858,106.59991,1450,1742,219,248,1600
2018-10-28 23:21:47Z.896,0x8a0711,LNI610,-6.15835,106.60049,1425,1742,219,248,1536
2018-10-28 23:21:49Z.650,0x8a0711,LNI610,-6.15935,106.59797,1475,1742,222,248,1408
2018-10-28 23:21:49Z.744,0x8a0711,LNI610,-6.15956,106.5975,1500,1742,222,248,1344
2018-10-28 23:21:50Z.155,0x8a0711,LNI610  ,-6.15956,106.5975,1500,1742,222,249,1344
2018-10-28 23:21:50Z.214,0x8a0711,LNI610,-6.15976,106.59699,1500,1742,222,248,1280
2018-10-28 23:21:51Z.990,0x8a0711,LNI610,-6.16049,106.59527,1525,1742,223,247,1216
2018-10-28 23:21:52Z.004,0x8a0711,LNI610,-6.15956,106.5975,1500,1742,222,248,1344
2018-10-28 23:21:52Z.600,0x8a0711,LNI610,-6.16077,106.5947,1550,1742,224,247,1088
2018-10-28 23:21:53Z.074,0x8a0711,LNI610,-6.161,106.5942,1550,1742,225,246,1152
2018-10-28 23:21:54Z.208,0x8a0711,LNI610,-6.16124,106.59376,1550,1742,225,246,1152
2018-10-28 23:21:55Z.080,0x8a0711,LNI610,-6.16175,106.59281,1600,1742,226,245,1024
2018-10-28 23:21:55Z.166,0x8a0711,LNI610  ,-6.16175,106.59281,1600,1742,226,245,1024
2018-10-28 23:21:55Z.838,0x8a0711,LNI610,-6.1624,106.59158,1600,1742,228,242,832
2018-10-28 23:21:56Z.906,0x8a0711,LNI610,-6.163,106.59068,1600,1742,228,242,768
2018-10-28 23:21:57Z.144,0x8a0711,LNI610,-6.1624,106.59158,1600,1742,228,242,832
2018-10-28 23:21:59Z.630,0x8a0711,LNI610,-6.16435,106.58869,1625,1742,231,237,576
2018-10-28 23:21:59Z.816,0x8a0711,LNI610,-6.16398,106.58926,1625,1742,230,239,640
2018-10-28 23:22:00Z.221,0x8a0711,LNI610  ,-6.16473,106.58827,1625,1742,232,237,512
2018-10-28 23:22:00Z.750,0x8a0711,LNI610,-6.1651,106.58775,1650,1742,232,235,448
2018-10-28 23:22:01Z.184,0x8a0711,LNI610,-6.16548,106.58736,1650,1742,232,235,384
2018-10-28 23:22:03Z.256,0x8a0711,LNI610,-6.16668,106.58604,1625,1742,235,231,512
2018-10-28 23:22:03Z.990,0x8a0711,LNI610,-6.16631,106.58643,1625,1742,235,231,448
2018-10-28 23:22:04Z.852,0x8a0711,LNI610,-6.16826,106.58448,1675,1742,237,227,704
2018-10-28 23:22:05Z.174,0x8a0711,LNI610  ,-6.16859,106.58415,1675,1742,240,226,704
2018-10-28 23:22:05Z.248,0x8a0711,LNI610,-6.16859,106.58414,1675,1742,239,225,704
2018-10-28 23:22:05Z.316,0x8a0711,LNI610,-6.1692,106.58363,1675,1742,239,225,704
2018-10-28 23:22:06Z.012,0x8a0711,LNI610,-6.16859,106.58414,1675,1742,239,225,704
2018-10-28 23:22:07Z.370,0x8a0711,LNI610,-6.17084,106.58223,1700,1742,241,222,896
2018-10-28 23:22:07Z.662,0x8a0711,,0,0,1700,1742,240,224,768
2018-10-28 23:22:07Z.870,0x8a0711,LNI610,-6.17124,106.58183,1700,1742,242,221,960
2018-10-28 23:22:08Z.646,0x8a0711,LNI610,-6.17124,106.58183,1700,1742,242,221,960
2018-10-28 23:22:09Z.852,0x8a0711,LNI610,-6.17271,106.58074,1725,1742,243,219,832
2018-10-28 23:22:10Z.174,0x8a0711,LNI610  ,-6.1732,106.58041,1725,1742,245,218,768
2018-10-28 23:22:10Z.976,0x8a0711,LNI610,-6.17422,106.5797,1750,1742,246,216,576
2018-10-28 23:22:10Z.984,0x8a0711,LNI610,-6.17422,106.5797,1750,1742,244,218,704
2018-10-28 23:22:11Z.012,0x8a0711,LNI610,-6.17385,106.57993,1750,1742,244,218,704
2018-10-28 23:22:12Z.924,0x8a0711,LNI610,-6.1761,106.57846,1750,1742,249,214,320
2018-10-28 23:22:13Z.974,0x8a0711,LNI610,-6.1772,106.57781,1750,1742,249,212,192
2018-10-28 23:22:14Z.730,0x8a0711,LNI610,-6.1772,106.57781,1750,1742,249,212,192
2018-10-28 23:22:15Z.148,0x8a0711,LNI610  ,-6.17825,106.57725,1725,1742,250,213,192
2018-10-28 23:22:15Z.904,0x8a0711,,0,0,1725,0,0,0,0
2018-10-28 23:22:15Z.994,0x8a0711,LNI610,-6.17879,106.577,1725,1742,251,211,128
2018-10-28 23:22:16Z.016,0x8a0711,LNI610,-6.17931,106.57674,1725,1742,251,211,192
2018-10-28 23:22:17Z.114,0x8a0711,LNI610,-6.1805,106.57618,1725,1742,254,207,256
2018-10-28 23:22:17Z.894,0x8a0711,LNI610,-6.18,106.57643,1725,1742,253,209,256
2018-10-28 23:22:19Z.670,0x8a0711,LNI610,-6.18335,106.57506,1725,1742,256,204,896
2018-10-28 23:22:20Z.108,0x8a0711,LNI610  ,-6.18335,106.57505,1725,1742,257,204,896
2018-10-28 23:22:20Z.450,0x8a0711,LNI610,-6.18335,106.57506,1725,1742,256,204,896
2018-10-28 23:22:20Z.722,0x8a0711,LNI610,-6.18388,106.57483,1750,1742,256,204,704
2018-10-28 23:22:22Z.252,0x8a0711,LNI610,-6.18642,106.57401,1850,1742,260,200,1344
2018-10-28 23:22:22Z.808,0x8a0711,LNI610,-6.187,106.57381,1875,1742,261,199,1408
2018-10-28 23:22:23Z.870,0x8a0711,LNI610,-6.18772,106.57359,1875,1742,261,199,1408
2018-10-28 23:22:25Z.158,0x8a0711,LNI610  ,-6.18935,106.57307,1900,1742,262,198,1408
2018-10-28 23:22:25Z.844,0x8a0711,LNI610,-6.19052,106.57273,1925,1742,262,198,1472
2018-10-28 23:22:26Z.330,0x8a0711,LNI610,-6.19052,106.57273,1925,1742,263,197,1472
2018-10-28 23:22:26Z.362,0x8a0711,LNI610,-6.18993,106.57288,1925,1742,262,198,1408
2018-10-28 23:22:26Z.860,0x8a0711,LNI610,-6.19125,106.57255,1950,1742,263,197,1536
2018-10-28 23:22:28Z.186,0x8a0711,LNI610,-6.19341,106.57204,1975,1742,264,194,1920
2018-10-28 23:22:28Z.618,0x8a0711,LNI610,-6.19391,106.57199,2000,1742,264,194,1984
2018-10-28 23:22:29Z.670,0x8a0711,LNI610,-6.19452,106.57188,2025,1742,264,192,1984
2018-10-28 23:22:29Z.682,0x8a0711,LNI610,-6.19524,106.57181,2050,1742,264,194,1984
2018-10-28 23:22:30Z.177,0x8a0711,LNI610  ,-6.19524,106.57181,2050,1742,265,193,1984
2018-10-28 23:22:31Z.104,0x8a0711,LNI610,-6.19698,106.57157,2100,1742,265,188,1856
2018-10-28 23:22:32Z.114,0x8a0711,LNI610,-6.19762,106.57162,2125,1742,265,188,1664
2018-10-28 23:22:32Z.388,0x8a0711,LNI610,-6.1982,106.5715,2125,1742,266,187,1536
2018-10-28 23:22:34Z.412,0x8a0711,LNI610,-6.20123,106.57157,2175,1742,267,183,960
2018-10-28 23:22:35Z.152,0x8a0711,LNI610  ,-6.20123,106.57157,2175,1742,267,183,832
2018-10-28 23:22:35Z.612,0x8a0711,LNI610,-6.20174,106.57157,2175,1742,268,181,640
2018-10-28 23:22:36Z.052,0x8a0711,LNI610,-6.20224,106.57166,2150,1742,268,181,512
2018-10-28 23:22:37Z.808,0x8a0711,LNI610,-6.20541,106.57202,2175,1742,271,176,192
2018-10-28 23:22:38Z.248,0x8a0711,LNI610,-6.20607,106.57217,2175,1742,272,174,-256
2018-10-28 23:22:40Z.056,0x8a0711,LNI610,-6.20541,106.57202,2175,1742,272,174,-64
2018-10-28 23:22:40Z.178,0x8a0711,LNI610  ,-6.20796,106.57246,2150,1742,276,171,-640
2018-10-28 23:22:40Z.762,0x8a0711,LNI610,-6.20914,106.57273,2150,1742,278,170,-896
2018-10-28 23:22:41Z.336,0x8a0711,LNI610,-6.20863,106.57264,2150,1742,276,171,-768
2018-10-28 23:22:41Z.776,0x8a0711,LNI610,-6.20988,106.57292,2150,1742,278,170,-1024
2018-10-28 23:22:41Z.780,0x8a0711,,0,0,2150,1742,0,0,0
2018-10-28 23:22:43Z.712,0x8a0711,LNI610,-6.213,106.57372,2100,1742,286,166,-2176
2018-10-28 23:22:43Z.786,0x8a0711,LNI610,-6.21184,106.57339,2125,1742,278,170,-1024
2018-10-28 23:22:44Z.306,0x8a0711,LNI610,-6.21249,106.57358,2100,1742,283,167,-1984
2018-10-28 23:22:45Z.132,0x8a0711,LNI610  ,-6.21446,106.57413,2075,1742,289,165,-2624
2018-10-28 23:22:45Z.266,0x8a0711,LNI610,-6.21379,106.57397,2075,1742,286,166,-2368
2018-10-28 23:22:46Z.642,0x8a0711,LNI610,-6.21684,106.57487,1950,1742,293,164,-3392
2018-10-28 23:22:46Z.906,0x8a0711,LNI610,-6.21684,106.57487,1950,1742,293,164,-3392
2018-10-28 23:22:47Z.570,0x8a0711,LNI610,-6.21821,106.57534,1875,1742,293,164,-3328
2018-10-28 23:22:47Z.876,0x8a0711,,0,0,1900,1742,0,0,0
2018-10-28 23:22:48Z.318,0x8a0711,LNI610,-6.21821,106.57534,1875,1742,296,163,-3520
2018-10-28 23:22:50Z.160,0x8a0711,LNI610,-6.2216,106.57655,1725,1742,308,160,-3264
2018-10-28 23:22:50Z.606,0x8a0711,LNI610  ,-6.22092,106.57633,1750,1742,304,162,-3328
2018-10-28 23:22:50Z.608,0x8a0711,LNI610,-6.22092,106.57633,1750,1742,303,161,-3328
2018-10-28 23:22:50Z.934,0x8a0711,LNI610,-6.22092,106.57633,1750,1742,303,161,-3328
2018-10-28 23:22:51Z.652,0x8a0711,LNI610,-6.22231,106.57685,1700,1742,293,164,-3328
2018-10-28 23:22:51Z.652,0x8a0711,LNI610,-6.22231,106.57685,1700,1742,293,164,-3328
2018-10-28 23:22:52Z.968,0x8a0711,LNI610,-6.22497,106.5779,1625,1742,316,159,-2496
2018-10-28 23:22:53Z.400,0x8a0711,LNI610,-6.22623,106.57841,1600,1742,319,159,-2432
2018-10-28 23:22:53Z.604,0x8a0711,LNI610,0,0,1600,1742,308,160,-3264
2018-10-28 23:22:54Z.246,0x8a0711,LNI610,-6.22552,106.57809,1625,1742,319,159,-2496
2018-10-28 23:22:55Z.135,0x8a0711,LNI610  ,-6.2285,106.57932,1475,1742,327,158,-1792
2018-10-28 23:22:55Z.942,0x8a0711,LNI610,-6.2285,106.57932,1475,1742,323,158,-2112
2018-10-28 23:22:56Z.512,0x8a0711,LNI610,-6.23062,106.58028,1450,1742,329,157,-832
2018-10-28 23:22:57Z.236,0x8a0711,LNI610,-6.2298,106.5799,1475,1742,329,157,-1088
2018-10-28 23:22:58Z.110,0x8a0711,LNI610,0,0,1475,1742,331,156,-448
2018-10-28 23:22:58Z.112,0x8a0711,LNI610,-6.23288,106.58135,1475,1742,333,155,192
2018-10-28 23:22:59Z.990,0x8a0711,LNI610,-6.23372,106.58178,1475,1742,333,155,384
2018-10-28 23:23:00Z.161,0x8a0711,LNI610  ,-6.23507,106.58254,1500,1742,334,155,576
2018-10-28 23:23:00Z.164,0x8a0711,LNI610,-6.23442,106.58214,1475,1742,334,154,576
2018-10-28 23:23:01Z.322,0x8a0711,LNI610,-6.23721,106.58382,1550,1742,334,152,1152
2018-10-28 23:23:02Z.128,0x8a0711,LNI610,-6.23791,106.58419,1575,1742,334,150,1152
2018-10-28 23:23:02Z.326,0x8a0711,LNI610,-6.23854,106.58466,1600,1742,334,150,1152
2018-10-28 23:23:02Z.434,0x8a0711,LNI610,-6.23854,106.58466,1600,1742,334,150,1152
2018-10-28 23:23:03Z.362,0x8a0711,LNI610,-6.23854,106.58466,1600,1742,334,150,1152
2018-10-28 23:23:05Z.165,0x8a0711,LNI610  ,-6.24163,106.58675,1625,1742,334,148,1216
2018-10-28 23:23:05Z.728,0x8a0711,LNI610,-6.24163,106.58675,1625,1742,333,147,1216
2018-10-28 23:23:05Z.910,0x8a0711,,0,0,1700,0,0,0,0
2018-10-28 23:23:05Z.980,0x8a0711,LNI610,-6.24163,106.58675,1625,1742,333,147,1216
2018-10-28 23:23:06Z.070,0x8a0711,LNI610,-6.24225,106.58717,1675,1742,333,146,1280
2018-10-28 23:23:06Z.186,0x8a0711,LNI610,-6.2434,106.58798,1700,1742,333,147,1152
2018-10-28 23:23:08Z.538,0x8a0711,LNI610,-6.24517,106.5895,1725,1742,333,144,1792
2018-10-28 23:23:08Z.578,0x8a0711,LNI610,-6.24633,106.59049,1775,1742,331,142,2240
2018-10-28 23:23:09Z.642,0x8a0711,LNI610,-6.2468,106.59087,1800,1742,333,147,1152
2018-10-28 23:23:09Z.664,0x8a0711,LNI610,-6.24633,106.59049,1775,1742,331,142,2240
2018-10-28 23:23:10Z.151,0x8a0711,LNI610  ,-6.24747,106.59154,1825,1742,331,141,2624
2018-10-28 23:23:10Z.376,0x8a0711,LNI610,-6.24577,106.58996,1750,1742,331,142,2048
2018-10-28 23:23:10Z.502,0x8a0711,LNI610,-6.24843,106.59248,1900,1742,329,139,2944
2018-10-28 23:23:11Z.336,0x8a0711,LNI610,-6.24902,106.59299,1925,1742,328,138,3072
2018-10-28 23:23:12Z.550,0x8a0711,LNI610,-6.24954,106.59352,1950,1742,328,138,3072
2018-10-28 23:23:13Z.578,0x8a0711,LNI610,-6.25169,106.59584,2050,1742,325,135,3456
2018-10-28 23:23:13Z.700,0x8a0711,LNI610,-6.25136,106.59537,2025,1742,326,137,3136
2018-10-28 23:23:14Z.102,0x8a0711,,0,0,1850,1742,0,0,0
2018-10-28 23:23:14Z.520,0x8a0711,LNI610,-6.25211,106.59627,2075,1742,323,134,3456
2018-10-28 23:23:14Z.584,0x8a0711,LNI610,-6.25266,106.59693,2125,1742,323,134,3456
2018-10-28 23:23:15Z.237,0x8a0711,LNI610  ,-6.25266,106.59693,2125,1742,323,135,3456
2018-10-28 23:23:16Z.580,0x8a0711,LNI610,-6.25452,106.59927,2225,1742,320,131,3264
2018-10-28 23:23:17Z.670,0x8a0711,LNI610,-6.25507,106.59997,2200,1742,318,129,3392
2018-10-28 23:23:17Z.718,0x8a0711,LNI610,-6.25507,106.59997,2200,1742,321,133,3392
2018-10-28 23:23:18Z.122,0x8a0711,LNI610,-6.25534,106.60048,2250,1742,318,129,3584
2018-10-28 23:23:19Z.052,0x8a0711,,0,0,2400,1742,315,126,3584
2018-10-28 23:23:19Z.540,0x8a0711,LNI610,-6.25648,106.60216,2400,1742,333,147,1152
2018-10-28 23:23:20Z.210,0x8a0711,LNI610  ,-6.25723,106.60342,2425,1742,316,126,3520
2018-10-28 23:23:21Z.472,0x8a0711,LNI610,-6.25754,106.60406,2450,1742,313,124,3520
2018-10-28 23:23:22Z.200,0x8a0711,LNI610,-6.25723,106.60342,2425,1742,313,124,3456
2018-10-28 23:23:22Z.448,0x8a0711,LNI610,-6.25886,106.60664,2575,1742,311,120,3392
2018-10-28 23:23:23Z.742,0x8a0711,LNI610,-6.25886,106.60664,2575,1742,311,120,3456
2018-10-28 23:23:24Z.404,0x8a0711,LNI610,-6.25946,106.60796,2600,1742,309,118,3328
2018-10-28 23:23:25Z.174,0x8a0711,LNI610  ,-6.25997,106.60929,2650,1742,309,117,3328
2018-10-28 23:23:25Z.622,0x8a0711,LNI610,-6.26024,106.60993,2675,1742,308,116,3328
2018-10-28 23:23:26Z.040,0x8a0711,LNI610,-6.26044,106.61062,2725,1742,306,114,3392
2018-10-28 23:23:26Z.636,0x8a0711,LNI610,-6.26097,106.61226,2800,1742,305,112,3200
2018-10-28 23:23:28Z.332,0x8a0711,LNI610,-6.2607,106.61128,2775,1742,305,112,3328
2018-10-28 23:23:29Z.086,0x8a0711,,0,0,2850,1742,315,126,3584
2018-10-28 23:23:29Z.474,0x8a0711,LNI610,-6.26193,106.61607,2925,1742,302,106,3200
2018-10-28 23:23:29Z.640,0x8a0711,LNI610,-6.26179,106.61536,2925,1742,304,109,3200
2018-10-28 23:23:30Z.186,0x8a0711,LNI610  ,-6.26211,106.61658,2950,1742,302,105,3200
2018-10-28 23:23:30Z.338,0x8a0711,LNI610,-6.26179,106.61536,2925,1742,302,106,3264
2018-10-28 23:23:31Z.546,0x8a0711,LNI610,-6.26258,106.61876,3050,1742,301,104,3264
2018-10-28 23:23:33Z.048,0x8a0711,LNI610,-6.26286,106.62013,3075,1742,300,103,3328
2018-10-28 23:23:33Z.848,0x8a0711,LNI610,-6.26258,106.61876,3050,1742,301,105,3264
2018-10-28 23:23:34Z.548,0x8a0711,LNI610,-6.26351,106.62293,3200,1742,298,102,4032
2018-10-28 23:23:34Z.986,0x8a0711,,0,0,3175,1742,298,102,3840
2018-10-28 23:23:35Z.530,0x8a0711,LNI610  ,-6.26351,106.62293,3200,1742,298,103,4032
2018-10-28 23:23:35Z.802,0x8a0711,LNI610,-6.26376,106.62413,3300,1742,296,102,4096
2018-10-28 23:23:35Z.818,0x8a0711,LNI610,-6.2636,106.6235,3250,1742,296,102,4096
2018-10-28 23:23:36Z.064,0x8a0711,LNI610,-6.26376,106.62413,3300,1742,296,102,4096
2018-10-28 23:23:36Z.228,0x8a0711,,0,0,3325,0,295,102,3968
2018-10-28 23:23:38Z.362,0x8a0711,LNI610,-6.26449,106.62757,3450,1742,292,102,3840
2018-10-28 23:23:38Z.482,0x8a0711,LNI610,-6.26435,106.62676,3400,1742,293,102,3840
2018-10-28 23:23:38Z.486,0x8a0711,LNI610,-6.26463,106.62809,3475,1742,292,102,3712
2018-10-28 23:23:40Z.189,0x8a0711,LNI610  ,-6.265,106.62995,3550,1742,290,102,3456
2018-10-28 23:23:40Z.872,0x8a0711,,0,0,3600,1742,295,102,3968
2018-10-28 23:23:41Z.374,0x8a0711,LNI610,-6.26514,106.6306,3600,1742,290,102,3328
2018-10-28 23:23:41Z.430,0x8a0711,,0,0,3625,1742,290,102,3456
2018-10-28 23:23:41Z.928,0x8a0711,LNI610,-6.26542,106.63188,3625,1742,289,101,3008
2018-10-28 23:23:42Z.156,0x8a0711,LNI610,-6.26555,106.63255,3625,1742,290,102,3456
2018-10-28 23:23:42Z.192,0x8a0711,LNI610,-6.26527,106.63126,3600,1742,289,101,3136
2018-10-28 23:23:44Z.440,0x8a0711,,0,0,3750,1742,286,101,2880
2018-10-28 23:23:44Z.604,0x8a0711,LNI610,-6.26616,106.63567,3750,1742,286,101,2944
2018-10-28 23:23:44Z.844,0x8a0711,LNI610,-6.26616,106.63567,3750,1742,286,101,2944
2018-10-28 23:23:45Z.161,0x8a0711,LNI610  ,-6.2663,106.63619,3750,1742,287,101,2880
2018-10-28 23:23:46Z.314,0x8a0711,LNI610,-6.26672,106.63841,3825,1742,285,101,2944
2018-10-28 23:23:46Z.388,0x8a0711,,0,0,3825,1742,286,101,2880
2018-10-28 23:23:48Z.218,0x8a0711,LNI610,-6.26686,106.63918,3850,1742,285,101,2944
2018-10-28 23:23:48Z.480,0x8a0711,LNI610,-6.26697,106.63986,3875,1742,285,101,3008
2018-10-28 23:23:49Z.568,0x8a0711,LNI610,-6.26737,106.64259,4000,1742,283,100,3200
2018-10-28 23:23:50Z.138,0x8a0711,LNI610  ,-6.26737,106.64258,4000,1742,283,100,3200
2018-10-28 23:23:50Z.308,0x8a0711,LNI610,-6.26747,106.6431,4025,1742,282,99,3200
2018-10-28 23:23:51Z.130,0x8a0711,LNI610,-6.26761,106.644,4050,1742,282,99,3136
2018-10-28 23:23:51Z.580,0x8a0711,,-6.2677,106.64504,4100,1742,282,98,3136
2018-10-28 23:23:51Z.668,0x8a0711,,-6.26761,106.644,4050,1742,284,100,3072
2018-10-28 23:23:52Z.518,0x8a0711,LNI610,-6.26784,106.64632,4150,1742,280,97,2944
2018-10-28 23:23:54Z.124,0x8a0711,LNI610,-6.26797,106.64787,4225,1742,280,96,2688
2018-10-28 23:23:54Z.354,0x8a0711,LNI610,-6.26788,106.64699,4175,1742,280,96,2816
2018-10-28 23:23:55Z.155,0x8a0711,LNI610  ,-6.26807,106.64918,4250,1742,280,96,2368
2018-10-28 23:23:56Z.114,0x8a0711,LNI610,-6.26812,106.65034,4275,1742,279,95,2112
2018-10-28 23:23:56Z.616,0x8a0711,,-6.26812,106.65034,4275,1742,279,95,2496
2018-10-28 23:23:56Z.652,0x8a0711,LNI610,-6.26817,106.65177,4300,1742,279,93,1984
2018-10-28 23:23:57Z.262,0x8a0711,,-6.26817,106.65177,4300,1742,279,94,2048
2018-10-28 23:23:57Z.496,0x8a0711,LNI610,-6.26812,106.65125,4300,1742,279,94,2048
2018-10-28 23:23:57Z.678,0x8a0711,,-6.26816,106.65295,4350,1742,279,94,2048
2018-10-28 23:23:59Z.064,0x8a0711,LNI610,-6.26817,106.65414,4350,1742,279,92,1664
2018-10-28 23:23:59Z.218,0x8a0711,LNI610,-6.26821,106.65466,4350,1742,280,91,1664
2018-10-28 23:24:00Z.168,0x8a0711,LNI610  ,-6.26817,106.65608,4375,1742,280,91,1600
2018-10-28 23:24:00Z.452,0x8a0711,LNI610,-6.26816,106.65546,4375,1742,280,91,1600
2018-10-28 23:24:01Z.542,0x8a0711,LNI610,-6.26816,106.65807,4425,1742,281,90,1536
2018-10-28 23:24:01Z.616,0x8a0711,,-6.26816,106.65807,4425,1742,279,94,2048
2018-10-28 23:24:02Z.006,0x8a0711,LNI610,-6.26816,106.65807,4425,1742,281,90,1536
2018-10-28 23:24:02Z.504,0x8a0711,LNI610,-6.26816,106.65807,4425,1742,281,90,1536
2018-10-28 23:24:04Z.212,0x8a0711,LNI610,-6.26807,106.66096,4475,1742,281,89,1536
2018-10-28 23:24:04Z.676,0x8a0711,LNI610,-6.26803,106.66223,4500,1742,282,88,1536
2018-10-28 23:24:05Z.173,0x8a0711,LNI610  ,-6.26803,106.66223,4500,1742,282,89,1536
2018-10-28 23:24:05Z.686,0x8a0711,,0,0,4500,1742,0,0,0
2018-10-28 23:24:06Z.240,0x8a0711,LNI610,-6.26788,106.66435,4525,1742,282,88,1536
2018-10-28 23:24:06Z.586,0x8a0711,LNI610,-6.26793,106.66356,4525,1742,282,87,1472
2018-10-28 23:24:06Z.974,0x8a0711,LNI610,-6.26803,106.66223,4500,1742,282,88,1536
2018-10-28 23:24:08Z.074,0x8a0711,LNI610,-6.2677,106.66607,4550,1742,282,86,1664
